id,name,webmd_url
1,Postdural puncture headache,https://www.webmd.com/vitamins/condition-1497/postdural-puncture-headache
2,Postoperative headache,https://www.webmd.com/vitamins/condition-1500/postoperative-headache
3,Stabbing headache,https://www.webmd.com/vitamins/condition-1828/stabbing-headache
4,Tension headache,https://www.webmd.com/vitamins/condition-1610/tension-headache
5,Diabetes,https://www.webmd.com/vitamins/condition-1145/diabetes
